ranking,hr_process_name,hr_system_name,region,hr_contact_channel,total_cases,automation_score,automation_priority,recommended_solution,estimated_operational_hours_saved
536,Employee Data Update,Payroll System,Europe,Phone,63,54.07,Alta,Automatización parcial con alertas SLA,491.94
537,HRIS Access Suspension,Payroll System,Australia,Phone,79,54.05,Alta,Automatización prioritaria,637.33
538,Benefits Reimbursement Request,People Analytics Dashboard,Europe,HR Chat / Virtual Assistant,72,54.05,Alta,Automatización prioritaria,553.64
539,HR System Enhancement Request,Payroll Payment Gateway,South America,HR Chat / Virtual Assistant,69,54.05,Alta,Chatbot o asistente virtual,514.4
540,HRIS Login Issue,HRIS Integration API,North America,HR Chat / Virtual Assistant,63,54.05,Alta,Chatbot o asistente virtual,506.49
541,Compliance & Access Security Review,Benefits Portal,Australia,Email,71,54.05,Alta,Workflow automation,474.39
542,Payroll Support Request,Employee Self-Service Portal,Africa,Email,84,54.04,Alta,Workflow automation,596.23
543,Compliance & Access Security Review,Benefits Administration System,Africa,Phone,75,54.03,Alta,Automatización prioritaria,596.4
544,HR Platform Bug Report,Employee Mobile App,Asia,HR Chat / Virtual Assistant,82,53.99,Alta,Chatbot o asistente virtual,662.11
545,Benefits Reimbursement Request,HRIS Integration API,Africa,HR Chat / Virtual Assistant,79,53.99,Alta,Chatbot o asistente virtual,640.65
546,Payroll Support Request,Benefits Administration System,Asia,Employee Self-Service Portal,69,53.99,Alta,Workflow automation,550.62
547,Benefits Cancellation Request,Benefits Portal,Australia,HR Chat / Virtual Assistant,75,53.98,Alta,Chatbot o asistente virtual,562.54
548,HRIS Login Issue,HR Document Management System,South America,Email,76,53.98,Alta,Workflow automation,555.94
549,Payroll Support Request,HR Case Management Platform,Europe,Phone,56,53.97,Alta,Automatización parcial con alertas SLA,472.36
550,HRIS Access Suspension,HR Case Management Platform,Africa,Phone,74,53.96,Alta,Automatización prioritaria,592.33
551,Employee Data Update,Payroll System,South America,Internal Collaboration Tool,70,53.96,Alta,Chatbot o asistente virtual,523.81
552,Payroll Support Request,People Analytics Dashboard,Australia,Email,60,53.96,Alta,Automatización parcial con alertas SLA,507.36
553,HR Platform Bug Report,HR Case Management Platform,South America,Phone,86,53.95,Alta,Automatización parcial con alertas SLA,635.71
554,Compliance & Access Security Review,Payroll Payment Gateway,North America,Email,76,53.95,Alta,Workflow automation,611.27
555,HRIS Access Suspension,Employee Self-Service Portal,Africa,Email,76,53.95,Alta,Workflow automation,561.26
556,Employee Data Update,Payroll System,Africa,Employee Self-Service Portal,85,53.92,Alta,Workflow automation,608.98
557,Employee Data Update,Employee Self-Service Portal,South America,Internal Collaboration Tool,77,53.92,Alta,Chatbot o asistente virtual,586.7
558,HR Platform Bug Report,HR Case Management Platform,North America,Email,73,53.92,Alta,Workflow automation,581.01
559,HRIS Login Issue,HR Case Management Platform,North America,Internal Collaboration Tool,63,53.91,Alta,Chatbot o asistente virtual,505.17
560,HRIS Login Issue,Payroll System,Asia,Internal Collaboration Tool,61,53.9,Alta,Chatbot o asistente virtual,476.32
561,HRIS Access Suspension,HR Document Management System,Europe,Email,74,53.89,Alta,Workflow automation,564.1
562,HRIS Login Issue,Payroll Payment Gateway,South America,Phone,62,53.88,Alta,Automatización parcial con alertas SLA,504.31
563,HRIS Access Suspension,HRIS Integration API,North America,Email,59,53.88,Alta,Automatización parcial con alertas SLA,439.02
564,HR Platform Bug Report,Payroll Payment Gateway,South America,Internal Collaboration Tool,79,53.87,Alta,Chatbot o asistente virtual,548.58
565,HR Platform Bug Report,Employee Mobile App,Asia,Phone,81,53.86,Alta,Automatización prioritaria,622.85
566,Compliance & Access Security Review,Employee Mobile App,Africa,Phone,79,53.86,Alta,Automatización parcial con alertas SLA,575.4
567,Payroll Support Request,Employee Self-Service Portal,Australia,HR Chat / Virtual Assistant,65,53.85,Alta,Chatbot o asistente virtual,498.22
568,HRIS Login Issue,HRIS Integration API,Australia,Phone,76,53.84,Alta,Automatización prioritaria,579.88
569,Payroll Support Request,HR Document Management System,Africa,HR Chat / Virtual Assistant,73,53.84,Alta,Chatbot o asistente virtual,543.45
570,HRIS Login Issue,Payroll Payment Gateway,Australia,HR Chat / Virtual Assistant,73,53.84,Alta,Chatbot o asistente virtual,542.94
571,Compliance & Access Security Review,HR Document Management System,Africa,Internal Collaboration Tool,70,53.84,Alta,Chatbot o asistente virtual,504.94
572,Compliance & Access Security Review,Employee Mobile App,Asia,Email,77,53.82,Alta,Workflow automation,632.79
573,Benefits Cancellation Request,HR Case Management Platform,Australia,Employee Self-Service Portal,76,53.82,Alta,Workflow automation,630.69
574,HR System Enhancement Request,Benefits Portal,Australia,Phone,74,53.82,Alta,Automatización parcial con alertas SLA,569.54
575,Benefits Reimbursement Request,HR Document Management System,Europe,Email,72,53.82,Alta,Workflow automation,551.38
576,HR Platform Bug Report,Benefits Portal,Asia,Email,71,53.82,Alta,Automatización parcial con alertas SLA,539.0
577,HRIS Login Issue,HR Case Management Platform,Europe,Email,82,53.81,Alta,Workflow automation,633.98
578,Compliance & Access Security Review,HR Case Management Platform,Asia,Employee Self-Service Portal,71,53.81,Alta,Workflow automation,574.53
579,HR Platform Bug Report,Employee Self-Service Portal,Africa,Internal Collaboration Tool,72,53.81,Alta,Chatbot o asistente virtual,552.89
580,Compliance & Access Security Review,Benefits Administration System,Australia,Email,70,53.81,Alta,Workflow automation,522.34
581,HR Platform Bug Report,Payroll System,Africa,Email,70,53.81,Alta,Workflow automation,517.68
582,HRIS Login Issue,Payroll Payment Gateway,Asia,Email,78,53.8,Alta,Workflow automation,597.05
583,Employee Data Update,Employee Mobile App,North America,HR Chat / Virtual Assistant,67,53.8,Alta,Chatbot o asistente virtual,565.85
584,HR System Enhancement Request,Payroll System,Asia,Phone,83,53.77,Alta,Automatización prioritaria,604.82
585,HR System Enhancement Request,Payroll Payment Gateway,North America,Phone,63,53.76,Alta,Automatización parcial con alertas SLA,509.58
586,HRIS Login Issue,HR Case Management Platform,Australia,Email,56,53.76,Alta,Automatización parcial con alertas SLA,400.62
587,Benefits Reimbursement Request,Employee Self-Service Portal,North America,Phone,81,53.74,Alta,Automatización prioritaria,664.24
588,Employee Data Update,HR Document Management System,Europe,Phone,78,53.74,Alta,Automatización prioritaria,633.36
589,HR System Performance Issue,People Analytics Dashboard,Australia,HR Chat / Virtual Assistant,73,53.74,Alta,Chatbot o asistente virtual,607.83
590,HRIS Access Suspension,Benefits Portal,North America,Employee Self-Service Portal,75,53.74,Alta,Automatización prioritaria,584.59
591,Benefits Reimbursement Request,Payroll System,Australia,Internal Collaboration Tool,59,53.74,Alta,Chatbot o asistente virtual,487.13
592,Compliance & Access Security Review,Payroll System,North America,Phone,74,53.72,Alta,Automatización prioritaria,566.17
593,HR System Performance Issue,Benefits Administration System,Australia,HR Chat / Virtual Assistant,66,53.72,Alta,Chatbot o asistente virtual,528.3
594,Compliance & Access Security Review,Payroll System,Asia,Internal Collaboration Tool,63,53.72,Alta,Chatbot o asistente virtual,527.88
595,HRIS Login Issue,People Analytics Dashboard,Europe,Internal Collaboration Tool,70,53.71,Alta,Chatbot o asistente virtual,561.54
596,HR System Enhancement Request,Benefits Administration System,Africa,Email,58,53.71,Alta,Workflow automation,531.25
597,Benefits Cancellation Request,Payroll Payment Gateway,Africa,Phone,66,53.71,Alta,Automatización parcial con alertas SLA,461.31
598,Employee Data Update,HR Case Management Platform,Europe,HR Chat / Virtual Assistant,69,53.7,Alta,Automatización parcial con alertas SLA,551.34
599,Benefits Reimbursement Request,Benefits Portal,Europe,Internal Collaboration Tool,66,53.67,Alta,Chatbot o asistente virtual,521.37
600,Compliance & Access Security Review,HR Case Management Platform,South America,Internal Collaboration Tool,64,53.67,Alta,Chatbot o asistente virtual,494.14
601,HRIS Access Suspension,HR Case Management Platform,Asia,Phone,73,53.66,Alta,Automatización parcial con alertas SLA,584.07
602,HRIS Login Issue,Benefits Portal,Asia,Internal Collaboration Tool,59,53.66,Alta,Chatbot o asistente virtual,499.11
603,Payroll Support Request,Payroll System,North America,HR Chat / Virtual Assistant,77,53.65,Alta,Chatbot o asistente virtual,607.45
604,Employee Data Update,HR Document Management System,Australia,HR Chat / Virtual Assistant,68,53.65,Alta,Chatbot o asistente virtual,552.16
605,HR System Enhancement Request,HR Case Management Platform,Africa,Phone,67,53.65,Alta,Automatización prioritaria,495.73
606,HRIS Login Issue,Payroll System,Africa,Internal Collaboration Tool,72,53.64,Alta,Chatbot o asistente virtual,500.22
607,HRIS Access Suspension,Employee Mobile App,Australia,Phone,60,53.63,Alta,Automatización parcial con alertas SLA,457.8
608,Payroll Support Request,Payroll System,Australia,Phone,77,53.62,Alta,Automatización parcial con alertas SLA,559.75
609,HR System Enhancement Request,Benefits Administration System,Africa,Employee Self-Service Portal,71,53.62,Alta,Workflow automation,535.02
610,HR System Performance Issue,Benefits Portal,Africa,Internal Collaboration Tool,67,53.62,Alta,Chatbot o asistente virtual,501.13
611,HR Platform Bug Report,HRIS Integration API,Europe,Employee Self-Service Portal,71,53.61,Alta,Workflow automation,580.99
612,HRIS Access Suspension,Employee Mobile App,Australia,Internal Collaboration Tool,54,53.61,Alta,Automatización parcial con alertas SLA,430.16
613,Payroll Support Request,Benefits Administration System,Asia,Phone,77,53.6,Alta,Automatización prioritaria,607.72
614,Employee Data Update,People Analytics Dashboard,Europe,Email,84,53.59,Alta,Workflow automation,638.86
615,HRIS Login Issue,Payroll System,Europe,Email,73,53.59,Alta,Workflow automation,587.39
616,HRIS Access Suspension,HR Document Management System,Europe,Employee Self-Service Portal,74,53.58,Alta,Automatización parcial con alertas SLA,554.52
617,HRIS Access Suspension,HR Document Management System,Africa,Internal Collaboration Tool,76,53.57,Alta,Chatbot o asistente virtual,650.37
618,HR System Performance Issue,HR Case Management Platform,Europe,Phone,61,53.57,Alta,Automatización parcial con alertas SLA,500.44
619,Payroll Support Request,People Analytics Dashboard,Australia,HR Chat / Virtual Assistant,67,53.56,Alta,Chatbot o asistente virtual,511.44
620,HR System Enhancement Request,Benefits Portal,Europe,Email,71,53.55,Alta,Workflow automation,578.76
621,Benefits Reimbursement Request,Payroll Payment Gateway,North America,Employee Self-Service Portal,65,53.55,Alta,Workflow automation,527.34
622,HR Platform Bug Report,Benefits Portal,Europe,Internal Collaboration Tool,67,53.55,Alta,Chatbot o asistente virtual,503.94
623,Payroll Support Request,Payroll System,Asia,Email,74,53.54,Alta,Workflow automation,607.1
624,HRIS Login Issue,HR Document Management System,Europe,Internal Collaboration Tool,68,53.54,Alta,Chatbot o asistente virtual,546.69
625,Payroll Support Request,Employee Mobile App,North America,HR Chat / Virtual Assistant,69,53.54,Alta,Chatbot o asistente virtual,533.47
626,Benefits Reimbursement Request,Benefits Portal,Australia,HR Chat / Virtual Assistant,62,53.54,Alta,Chatbot o asistente virtual,470.89
627,HRIS Access Suspension,Benefits Administration System,Australia,HR Chat / Virtual Assistant,65,53.54,Alta,Automatización prioritaria,463.19
628,Compliance & Access Security Review,HR Document Management System,Europe,Internal Collaboration Tool,70,53.53,Alta,Chatbot o asistente virtual,529.2
629,HR System Performance Issue,Benefits Administration System,Europe,Internal Collaboration Tool,66,53.53,Alta,Chatbot o asistente virtual,520.67
630,HRIS Login Issue,Payroll System,North America,Internal Collaboration Tool,57,53.52,Alta,Automatización prioritaria,453.66
631,HR System Performance Issue,Payroll Payment Gateway,Africa,Phone,74,53.49,Alta,Automatización parcial con alertas SLA,587.67
632,HR Platform Bug Report,Benefits Administration System,North America,Email,65,53.49,Alta,Workflow automation,557.83
633,Benefits Reimbursement Request,HR Case Management Platform,Australia,Employee Self-Service Portal,72,53.49,Alta,Workflow automation,544.82
634,HR System Performance Issue,Benefits Portal,South America,HR Chat / Virtual Assistant,74,53.49,Alta,Chatbot o asistente virtual,528.88
635,HRIS Login Issue,HR Document Management System,Africa,Email,72,53.48,Alta,Workflow automation,600.77
636,Benefits Reimbursement Request,Benefits Administration System,Africa,Email,76,53.48,Alta,Workflow automation,556.74
637,Compliance & Access Security Review,People Analytics Dashboard,South America,HR Chat / Virtual Assistant,72,53.47,Alta,Chatbot o asistente virtual,588.92
638,Benefits Reimbursement Request,Payroll Payment Gateway,South America,Email,73,53.47,Alta,Workflow automation,561.84
639,Benefits Reimbursement Request,HRIS Integration API,Asia,Employee Self-Service Portal,55,53.47,Alta,Workflow automation,443.9
640,HRIS Access Suspension,People Analytics Dashboard,Australia,HR Chat / Virtual Assistant,60,53.46,Alta,Chatbot o asistente virtual,451.71
641,HRIS Access Suspension,Payroll Payment Gateway,Asia,Employee Self-Service Portal,71,53.45,Alta,Workflow automation,559.37
642,HRIS Login Issue,People Analytics Dashboard,Australia,Employee Self-Service Portal,62,53.45,Alta,Workflow automation,547.71
643,HR Platform Bug Report,HR Case Management Platform,Australia,Email,74,53.44,Alta,Workflow automation,600.62
644,HR System Enhancement Request,Benefits Administration System,Asia,Internal Collaboration Tool,72,53.44,Alta,Chatbot o asistente virtual,536.0
645,Benefits Cancellation Request,Payroll System,Australia,HR Chat / Virtual Assistant,65,53.42,Alta,Chatbot o asistente virtual,572.84
646,Payroll Support Request,Payroll System,South America,Email,73,53.42,Alta,Automatización parcial con alertas SLA,509.98
647,Payroll Support Request,HR Document Management System,South America,Internal Collaboration Tool,58,53.42,Alta,Automatización parcial con alertas SLA,426.1
648,HR System Performance Issue,Payroll Payment Gateway,Asia,Employee Self-Service Portal,79,53.41,Alta,Workflow automation,528.94
649,Benefits Cancellation Request,HR Case Management Platform,Europe,Employee Self-Service Portal,62,53.41,Alta,Workflow automation,509.52
650,Benefits Reimbursement Request,Payroll System,South America,Email,87,53.39,Alta,Workflow automation,624.53
651,HRIS Access Suspension,Employee Mobile App,Africa,Email,73,53.39,Alta,Workflow automation,577.69
652,Benefits Cancellation Request,Employee Mobile App,South America,Email,76,53.39,Alta,Workflow automation,575.36
653,Employee Data Update,HRIS Integration API,Australia,HR Chat / Virtual Assistant,74,53.38,Alta,Chatbot o asistente virtual,560.73
654,Employee Data Update,Payroll Payment Gateway,Africa,Email,67,53.38,Alta,Workflow automation,540.05
655,Compliance & Access Security Review,HR Document Management System,Africa,Employee Self-Service Portal,91,53.37,Alta,Workflow automation,711.53
656,HR System Performance Issue,Benefits Portal,Asia,Phone,78,53.36,Alta,Automatización prioritaria,656.29
657,HRIS Login Issue,HRIS Integration API,South America,Internal Collaboration Tool,76,53.36,Alta,Chatbot o asistente virtual,614.99
658,Employee Data Update,HR Case Management Platform,South America,Phone,70,53.36,Alta,Automatización parcial con alertas SLA,497.84
659,Compliance & Access Security Review,Payroll System,Africa,Employee Self-Service Portal,68,53.36,Alta,Automatización parcial con alertas SLA,490.76
660,Benefits Cancellation Request,Benefits Administration System,Australia,HR Chat / Virtual Assistant,79,53.35,Alta,Chatbot o asistente virtual,591.43
661,HR System Enhancement Request,HR Document Management System,North America,Internal Collaboration Tool,70,53.35,Alta,Chatbot o asistente virtual,556.15
662,HR Platform Bug Report,Employee Self-Service Portal,Asia,Internal Collaboration Tool,74,53.34,Alta,Chatbot o asistente virtual,555.55
663,Payroll Support Request,Employee Self-Service Portal,Australia,Phone,67,53.34,Alta,Automatización parcial con alertas SLA,552.72
664,Benefits Reimbursement Request,Payroll System,Australia,Employee Self-Service Portal,66,53.34,Alta,Workflow automation,524.14
665,HR System Performance Issue,Employee Self-Service Portal,South America,Phone,65,53.34,Alta,Automatización parcial con alertas SLA,494.13
666,HRIS Access Suspension,Employee Mobile App,Europe,Internal Collaboration Tool,63,53.34,Alta,Chatbot o asistente virtual,451.8
667,HRIS Login Issue,Payroll System,Australia,HR Chat / Virtual Assistant,85,53.33,Alta,Chatbot o asistente virtual,652.72
668,HR System Enhancement Request,Employee Self-Service Portal,Europe,Employee Self-Service Portal,69,53.33,Alta,Workflow automation,545.31
669,Benefits Reimbursement Request,Benefits Portal,Africa,HR Chat / Virtual Assistant,69,53.32,Alta,Chatbot o asistente virtual,542.41
670,HR System Performance Issue,HR Case Management Platform,Asia,Phone,64,53.32,Alta,Automatización prioritaria,531.33
671,HRIS Access Suspension,Benefits Administration System,Africa,Email,61,53.32,Alta,Workflow automation,460.73
672,Employee Data Update,Employee Self-Service Portal,Asia,HR Chat / Virtual Assistant,76,53.31,Alta,Chatbot o asistente virtual,620.05
673,Benefits Reimbursement Request,Employee Mobile App,Asia,Internal Collaboration Tool,76,53.31,Alta,Chatbot o asistente virtual,600.63
674,Benefits Reimbursement Request,Payroll Payment Gateway,Africa,Phone,54,53.31,Alta,Automatización parcial con alertas SLA,433.38
675,HR System Enhancement Request,HR Document Management System,Europe,Internal Collaboration Tool,75,53.29,Alta,Chatbot o asistente virtual,617.92
676,HR System Enhancement Request,Employee Self-Service Portal,South America,HR Chat / Virtual Assistant,73,53.28,Alta,Chatbot o asistente virtual,582.28
677,HRIS Access Suspension,Payroll System,Europe,Employee Self-Service Portal,69,53.28,Alta,Workflow automation,529.61
678,HR Platform Bug Report,Benefits Administration System,Europe,Phone,68,53.28,Alta,Automatización prioritaria,528.6
679,Benefits Cancellation Request,Benefits Administration System,South America,Internal Collaboration Tool,70,53.27,Alta,Chatbot o asistente virtual,494.16
680,Benefits Reimbursement Request,HRIS Integration API,Europe,Employee Self-Service Portal,70,53.26,Alta,Workflow automation,578.93
681,Benefits Reimbursement Request,Payroll Payment Gateway,Europe,Phone,74,53.26,Alta,Automatización prioritaria,569.28
682,Compliance & Access Security Review,HR Document Management System,South America,HR Chat / Virtual Assistant,71,53.26,Alta,Chatbot o asistente virtual,533.78
683,HRIS Access Suspension,People Analytics Dashboard,Africa,HR Chat / Virtual Assistant,67,53.25,Alta,Chatbot o asistente virtual,522.47
684,HR System Enhancement Request,People Analytics Dashboard,Europe,HR Chat / Virtual Assistant,69,53.25,Alta,Chatbot o asistente virtual,501.84
685,Compliance & Access Security Review,Benefits Portal,Europe,Employee Self-Service Portal,74,53.22,Alta,Workflow automation,601.92
686,Compliance & Access Security Review,Benefits Portal,Europe,Email,74,53.22,Alta,Workflow automation,566.95
687,Compliance & Access Security Review,Employee Mobile App,North America,HR Chat / Virtual Assistant,71,53.22,Alta,Chatbot o asistente virtual,561.86
688,HRIS Login Issue,Employee Mobile App,South America,Email,64,53.22,Alta,Workflow automation,531.1
689,Benefits Cancellation Request,HR Case Management Platform,Australia,HR Chat / Virtual Assistant,64,53.22,Alta,Chatbot o asistente virtual,504.45
690,HR Platform Bug Report,Payroll System,Asia,Email,68,53.22,Alta,Workflow automation,500.51
691,HRIS Access Suspension,HRIS Integration API,Europe,Email,69,53.21,Alta,Workflow automation,563.66
692,HRIS Access Suspension,Payroll Payment Gateway,North America,Internal Collaboration Tool,78,53.21,Alta,Automatización parcial con alertas SLA,515.97
693,Benefits Cancellation Request,Payroll System,North America,Email,67,53.21,Alta,Workflow automation,495.97
694,HRIS Login Issue,Employee Mobile App,South America,HR Chat / Virtual Assistant,86,53.19,Alta,Chatbot o asistente virtual,651.97
695,HR Platform Bug Report,HR Case Management Platform,Africa,Email,73,53.19,Alta,Workflow automation,594.8
696,HRIS Login Issue,Employee Self-Service Portal,Europe,HR Chat / Virtual Assistant,63,53.19,Alta,Chatbot o asistente virtual,483.78
697,HRIS Access Suspension,People Analytics Dashboard,Africa,Internal Collaboration Tool,80,53.18,Alta,Chatbot o asistente virtual,623.84
698,Employee Data Update,Payroll System,Asia,Phone,74,53.17,Alta,Automatización parcial con alertas SLA,531.99
699,HR System Enhancement Request,Employee Mobile App,Europe,Internal Collaboration Tool,70,53.17,Alta,Chatbot o asistente virtual,526.01
700,Payroll Support Request,Payroll System,Europe,HR Chat / Virtual Assistant,59,53.17,Alta,Chatbot o asistente virtual,489.4
701,HR Platform Bug Report,HR Case Management Platform,Africa,Phone,67,53.17,Alta,Automatización parcial con alertas SLA,451.41
702,Compliance & Access Security Review,HR Case Management Platform,Australia,Phone,64,53.16,Alta,Automatización parcial con alertas SLA,521.25
703,HRIS Access Suspension,Employee Self-Service Portal,Australia,Phone,69,53.16,Alta,Automatización parcial con alertas SLA,487.83
704,Benefits Reimbursement Request,Payroll Payment Gateway,Asia,Internal Collaboration Tool,62,53.15,Alta,Automatización parcial con alertas SLA,512.77
705,HR Platform Bug Report,Payroll Payment Gateway,Australia,Employee Self-Service Portal,74,53.14,Alta,Workflow automation,520.33
706,Compliance & Access Security Review,Employee Mobile App,Australia,HR Chat / Virtual Assistant,74,53.13,Alta,Chatbot o asistente virtual,540.02
707,Benefits Cancellation Request,Employee Mobile App,North America,Employee Self-Service Portal,65,53.13,Alta,Workflow automation,499.59
708,HR System Enhancement Request,Payroll System,Africa,HR Chat / Virtual Assistant,72,53.12,Alta,Chatbot o asistente virtual,566.24
709,Payroll Support Request,Benefits Portal,South America,Employee Self-Service Portal,76,53.12,Alta,Workflow automation,565.52
710,Employee Data Update,Benefits Portal,North America,Email,76,53.12,Alta,Workflow automation,556.74
711,HRIS Access Suspension,Benefits Portal,Europe,Internal Collaboration Tool,69,53.1,Alta,Chatbot o asistente virtual,502.08
712,HRIS Login Issue,HR Document Management System,Europe,Email,66,53.09,Alta,Automatización parcial con alertas SLA,550.24
713,HR System Performance Issue,Payroll Payment Gateway,Africa,Internal Collaboration Tool,69,53.09,Alta,Chatbot o asistente virtual,534.44
714,HR System Performance Issue,Payroll Payment Gateway,South America,Employee Self-Service Portal,77,53.08,Alta,Workflow automation,599.37
715,HRIS Login Issue,HR Case Management Platform,South America,HR Chat / Virtual Assistant,68,53.08,Alta,Chatbot o asistente virtual,564.77
716,Benefits Cancellation Request,Employee Self-Service Portal,Asia,Employee Self-Service Portal,77,53.08,Alta,Workflow automation,548.7
717,Compliance & Access Security Review,HR Document Management System,Europe,Email,59,53.08,Alta,Workflow automation,509.02
718,HR System Performance Issue,Benefits Administration System,Australia,Phone,80,53.06,Alta,Automatización prioritaria,663.6
719,HRIS Access Suspension,Benefits Portal,South America,Email,65,53.06,Alta,Workflow automation,470.24
720,HR System Enhancement Request,Payroll Payment Gateway,Australia,Internal Collaboration Tool,52,53.06,Alta,Chatbot o asistente virtual,424.24
721,Benefits Reimbursement Request,Benefits Portal,Europe,Employee Self-Service Portal,90,53.05,Alta,Workflow automation,700.24
722,Benefits Reimbursement Request,Employee Self-Service Portal,South America,HR Chat / Virtual Assistant,87,53.05,Alta,Chatbot o asistente virtual,658.94
723,HRIS Login Issue,Payroll System,Asia,Employee Self-Service Portal,59,53.04,Alta,Automatización prioritaria,493.12
724,Compliance & Access Security Review,Payroll System,Asia,Employee Self-Service Portal,71,53.03,Alta,Workflow automation,560.86
725,HR Platform Bug Report,HR Case Management Platform,Australia,Employee Self-Service Portal,71,53.03,Alta,Workflow automation,524.34
726,Benefits Reimbursement Request,People Analytics Dashboard,Australia,Internal Collaboration Tool,68,53.03,Alta,Chatbot o asistente virtual,506.7
727,Compliance & Access Security Review,HR Document Management System,North America,Email,67,53.02,Alta,Workflow automation,580.62
728,HRIS Login Issue,Benefits Portal,Australia,Employee Self-Service Portal,71,53.01,Alta,Workflow automation,580.0
729,HRIS Access Suspension,Benefits Administration System,North America,Phone,68,53.0,Alta,Automatización parcial con alertas SLA,526.46
730,HRIS Access Suspension,Payroll System,South America,HR Chat / Virtual Assistant,71,53.0,Alta,Chatbot o asistente virtual,485.82
731,Payroll Support Request,Payroll Payment Gateway,Africa,Employee Self-Service Portal,61,53.0,Alta,Workflow automation,466.28
732,Benefits Cancellation Request,Payroll System,Europe,Phone,65,53.0,Alta,Automatización parcial con alertas SLA,454.32
733,HR System Performance Issue,HR Case Management Platform,Asia,HR Chat / Virtual Assistant,58,53.0,Alta,Automatización parcial con alertas SLA,437.87
734,HRIS Login Issue,Payroll System,South America,HR Chat / Virtual Assistant,66,53.0,Alta,Chatbot o asistente virtual,424.81
735,Employee Data Update,HR Case Management Platform,Australia,Phone,83,52.99,Alta,Automatización prioritaria,643.17
736,HRIS Login Issue,HRIS Integration API,Europe,Employee Self-Service Portal,76,52.99,Alta,Workflow automation,586.8
737,HRIS Login Issue,Employee Self-Service Portal,Asia,Internal Collaboration Tool,67,52.99,Alta,Chatbot o asistente virtual,537.47
738,Benefits Reimbursement Request,Benefits Portal,Australia,Internal Collaboration Tool,80,52.98,Alta,Chatbot o asistente virtual,600.6
739,Benefits Cancellation Request,Benefits Portal,Australia,Employee Self-Service Portal,71,52.97,Alta,Workflow automation,582.73
740,HRIS Access Suspension,HRIS Integration API,Australia,Phone,64,52.96,Alta,Automatización parcial con alertas SLA,492.8
741,Employee Data Update,HR Document Management System,North America,HR Chat / Virtual Assistant,73,52.95,Alta,Chatbot o asistente virtual,585.86
742,Compliance & Access Security Review,Payroll Payment Gateway,Australia,Internal Collaboration Tool,70,52.95,Alta,Chatbot o asistente virtual,538.51
743,HR System Enhancement Request,Benefits Portal,Africa,Phone,82,52.94,Alta,Automatización parcial con alertas SLA,594.38
744,HRIS Login Issue,Employee Self-Service Portal,Africa,Internal Collaboration Tool,81,52.94,Alta,Chatbot o asistente virtual,582.88
745,HRIS Access Suspension,Benefits Portal,Asia,Internal Collaboration Tool,65,52.94,Alta,Chatbot o asistente virtual,531.21
746,HR System Performance Issue,Benefits Administration System,North America,Email,62,52.94,Alta,Workflow automation,517.33
747,HRIS Access Suspension,Employee Self-Service Portal,Europe,Internal Collaboration Tool,61,52.93,Alta,Chatbot o asistente virtual,552.54
748,Employee Data Update,People Analytics Dashboard,Africa,HR Chat / Virtual Assistant,54,52.93,Alta,Chatbot o asistente virtual,460.22
749,HRIS Login Issue,People Analytics Dashboard,North America,Employee Self-Service Portal,70,52.92,Alta,Workflow automation,537.78
750,HR System Performance Issue,HR Case Management Platform,South America,Employee Self-Service Portal,69,52.92,Alta,Workflow automation,508.36
751,Compliance & Access Security Review,HR Document Management System,Europe,Employee Self-Service Portal,64,52.92,Alta,Workflow automation,501.76
752,HRIS Access Suspension,HRIS Integration API,Africa,Phone,66,52.92,Alta,Automatización parcial con alertas SLA,479.09
753,Payroll Support Request,Employee Self-Service Portal,Europe,HR Chat / Virtual Assistant,62,52.92,Alta,Chatbot o asistente virtual,476.53
754,Payroll Support Request,HR Document Management System,South America,HR Chat / Virtual Assistant,65,52.91,Media,Automatización parcial con alertas SLA,217.23
755,Employee Data Update,Employee Mobile App,South America,HR Chat / Virtual Assistant,72,52.91,Media,Automatización parcial,215.28
756,HRIS Login Issue,Benefits Portal,Africa,Employee Self-Service Portal,78,52.91,Media,Automatización parcial,206.54
757,HR System Performance Issue,Employee Mobile App,Asia,Phone,66,52.91,Media,Rediseño del proceso antes de automatizar,197.21
758,HR System Enhancement Request,HRIS Integration API,Australia,Phone,60,52.91,Media,Automatización parcial con alertas SLA,182.4
759,HR System Enhancement Request,Payroll Payment Gateway,Africa,Internal Collaboration Tool,64,52.89,Media,Rediseño del proceso antes de automatizar,195.46
760,Compliance & Access Security Review,HR Document Management System,South America,Phone,83,52.88,Media,Automatización parcial,239.04
761,HR System Performance Issue,Employee Self-Service Portal,South America,HR Chat / Virtual Assistant,73,52.88,Media,Automatización parcial con alertas SLA,215.79
762,HR System Enhancement Request,HR Case Management Platform,South America,Phone,69,52.88,Media,Automatización parcial,213.21
763,Payroll Support Request,Benefits Portal,Australia,Internal Collaboration Tool,70,52.87,Media,Automatización parcial,219.8
764,HRIS Login Issue,Payroll System,Australia,Employee Self-Service Portal,80,52.86,Media,Automatización parcial con alertas SLA,238.56
765,HRIS Access Suspension,Benefits Portal,Asia,Email,74,52.86,Media,Automatización parcial,206.61
766,HR System Performance Issue,People Analytics Dashboard,Europe,Phone,81,52.84,Media,Automatización parcial con alertas SLA,241.7
767,HRIS Access Suspension,HR Case Management Platform,Africa,HR Chat / Virtual Assistant,67,52.84,Media,Automatización parcial,221.1
